ride_id,id,truename,lat,lon,park,single_rider,lightning_lane,individual_lightning_lane
12,306,The Many Adventures of Winnie the Pooh,33.8125378704574,-117.92314243479,DL,No,No,No
21,296,Jungle Cruise,33.8114649849637,-117.920124080432,DL,No,No,No
24,304,Davy Crockett Explorer Canoes,33.8124961323431,-117.922071431924,DL,No,No,No
25,326,Indiana Jones Adventure,33.8111911679387,-117.920525119537,DL,No,Yes,No
26,297,Splash Mountain,33.8121843772014,-117.922438024883,DL,Yes,Yes,No
1,287,Astro Orbitor,33.812184077055,-117.91826053864,DL,No,No,No
2,278,Mad Tea Party,33.8135271691034,-117.918336955145,DL,No,No,No
3,275,Dumbo,33.8137273807927,-117.918943472834,DL,No,No,No
4,280,Mr Toads Wild Ride,33.8133872569348,-117.918747980146,DL,No,No,No
5,283,Snow Whites Enchanted Wish,33.8131542510878,-117.919164708867,DL,No,No,No
6,277,King Arthur Carrousel,33.8134784462389,-117.918941418354,DL,No,No,No
7,281,Peter Pans Flight,33.8131227678868,-117.918856220483,DL,No,No,No
8,282,Pinocchios Daring Journey,33.8133903702211,-117.919259438176,DL,No,No,No
9,323,Big Thunder Mountain Railroad,33.8126615516382,-117.920371126782,DL,No,Yes,No
10,285,Alice in Wonderland,33.813294284361,-117.918272879781,DL,No,No,No
11,303,Casey Jr Circus Train,33.8137789282873,-117.919165067388,DL,No,No,No
13,279,Matterhorn Bobsleds,33.8132837878514,-117.91781544094,DL,Yes,Yes,No
14,317,Autopia,33.8126341169474,-117.916386725255,DL,No,Yes,No
15,273,Buzz Lightyear Astro Blasters,33.8122837654712,-117.918065602539,DL,No,Yes,No
16,307,its a small world,33.8146429978975,-117.917807632198,DL,No,Yes,No
17,6339,Millennium Falcon Smugglers Run,33.8149052656419,-117.921412222266,DL,Yes,Yes,No
18,284,Space Mountain,33.8110558243664,-117.917498867894,DL,No,Yes,No
19,691,Main Street Vehicles,33.8101932661244,-117.918977708556,DL,No,No,No
20,286,Star Tours,33.8120566850492,-117.918089028743,DL,No,Yes,No
22,325,Haunted Mansion,33.8117847155918,-117.922164604746,DL,No,Yes,No
23,305,Storybook Land Canal Boats,33.8136456384136,-117.918260934846,DL,No,No,No
27,328,Sailing Ship Columbia,33.8122948987511,-117.920549168324,DL,No,No,No
