ride_key,Ridename,Duration,Zone,zone_key,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,Average,Max,Min,Min-average,8CH,9CH,10CH,11CH,12CH,13CH,14CH,15CH,16CH,17CH,18CH,19CH,20CH,21CH
1,Astro Orbitor,1.5,Tomorrowland,2,5,8,10,21,18,14,12,14,5,10,21,13,10,10,12,21,5,-7,-7,-1,3,16,13,9,7,9,-7,3,16,8,3,3
2,Mad Tea Party,1.5,Fantasyland,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,115,115,0,0,0,0,0,0,0,0,0,0,0,0
3,Dumbo,1.67,Fantasyland,1,5,5,8,16,13,18,20,20,15,15,11,10,7,5,12,20,5,-7,-7,-7,-1,11,8,13,15,15,10,10,5,3,-3,-7
4,Mr. Toad’s Wild Ride,2,Fantasyland,1,5,5,5,5,5,5,5,5,5,9,10,10,10,10,7,10,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,5,5,5,5
5,Snow White’s Enchanted Wish,2,Fantasyland,1,8,7,11,11,12,17,15,11,15,15,15,15,12,10,12,17,7,-5,-3,-5,3,3,5,10,8,3,8,8,8,8,5,1
6,King Arthur Carrousel,3,Fantasyland,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Peter Pan’s Flight,3,Fantasyland,1,9,17,20,20,28,22,20,20,22,25,25,25,22,20,21,28,9,-12,-12,4,10,10,19,13,10,10,13,16,16,16,13,10
8,Pinocchio’s Daring Journey,3,Fantasyland,1,5,5,8,10,12,12,10,5,5,5,5,5,5,5,7,12,5,-2,-2,-2,3,5,7,7,5,-2,-2,-2,-2,-2,-2,-2
9,Big Thunder Mountain Railroad,3.5,Frontierland,6,5,5,5,5,5,5,5,5,18,15,15,15,15,8,9,18,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,13,10,10,10,10,2
10,Alice in Wonderland,4,Fantasyland,1,6,7,10,23,25,19,15,18,15,15,15,19,17,15,16,25,6,-10,-10,-8,-2,17,19,13,8,12,8,8,8,13,11,8
