id,name,current_wait,wait_ratio,lat,lon,park,single_rider,lightning_lane,individual_lightning_lane,z2022-1-24-11-33
288,Enchanted Tiki Room,0,1,,,,,,,0
326,Indiana Jones Adventure,15,1,33.8111911679387,-117.920525119537,DL,No,Yes,No,15
296,Jungle Cruise,5,1,33.8114649849637,-117.920124080432,DL,No,No,No,5
689,Tarzan's Treehouse,0,1,,,,,,,0
304,Davy Crockett Explorer Canoes,10,1,33.8124961323431,-117.922071431924,DL,No,No,No,10
297,Splash Mountain,0,1,33.8121843772014,-117.922438024883,DL,Yes,Yes,No,0
306,The Many Adventures of Winnie the Pooh,5,1,33.8125378704574,-117.92314243479,DL,No,No,No,5
285,Alice in Wonderland,20,1,33.813294284361,-117.918272879781,DL,No,No,No,20
303,Casey Jr Circus Train,0,1,33.8137789282873,-117.919165067388,DL,No,No,No,0
275,Dumbo,15,1,33.8137273807927,-117.918943472834,DL,No,No,No,15
307,its a small world,0,1,33.8146429978975,-117.917807632198,DL,No,Yes,No,0
277,King Arthur Carrousel,5,1,33.8134784462389,-117.918941418354,DL,No,No,No,5
278,Mad Tea Party,5,1,33.8135271691034,-117.918336955145,DL,No,No,No,5
279,Matterhorn Bobsleds,10,1,33.8132837878514,-117.91781544094,DL,Yes,Yes,No,10
280,Mr Toads Wild Ride,5,1,33.8133872569348,-117.918747980146,DL,No,No,No,5
281,Peter Pans Flight,5,1,33.8131227678868,-117.918856220483,DL,No,No,No,5
282,Pinocchios Daring Journey,5,1,33.8133903702211,-117.919259438176,DL,No,No,No,5
687,Sleeping Beauty Castle Walkthrough,0,1,,,,,,,0
283,Snow Whites Enchanted Wish,10,1,33.8131542510878,-117.919164708867,DL,No,No,No,10
305,Storybook Land Canal Boats,5,1,33.8136456384136,-117.918260934846,DL,No,No,No,5
323,Big Thunder Mountain Railroad,5,1,33.8126615516382,-117.920371126782,DL,No,Yes,No,5
679,Frontierland Shootin' Exposition,0,1,,,,,,,0
456,Mark Twain Riverboat,0,1,,,,,,,0
331,Pirate's Lair on Tom Sawyer Island,0,1,,,,,,,0
328,Sailing Ship Columbia,0,1,33.8122948987511,-117.920549168324,DL,No,No,No,0
674,"Disneyland Railroad - Main Street, U.S.A.",10,1,,,,,,,10
6114,Fortune Tellers,0,1,,,,,,,0
686,Main Street Cinema,0,1,,,,,,,0
691,Main Street Vehicles,0,1,33.8101932661244,-117.918977708556,DL,No,No,No,0
695,The Disney Gallery,0,1,,,,,,,0
690,The Disneyland Story presenting Great Moments with Mr. Lincoln,0,1,,,,,,,0
673,Chip 'n Dale Treehouse,0,1,,,,,,,0
677,Donald's Boat,0,1,,,,,,,0
324,Gadgets Go Coaster,5,1,33.815253807635,-117.919351410747,DL,No,No,No,5
