zone_key,Zone,Fantasyland,Tomorrowland,Galaxy’s Edge,Adventureland,Critter Country,Frontierland,Cars Land,Avengers Campus,Hollywood Land,Grizzly Peak,Paradise Gardens,Pixar Pier
1,Fantasyland,1,5,3,4,9,3,12,11,12,10,13,17
2,Tomorrowland,5,1,6,5,9,6,11,11,12,10,13,17
3,Galaxy’s Edge,3,6,1,5,3,3,13,12,13,12,14,19
4,Adventureland,4,5,5,1,5,2,10,10,10,9,13,14
5,Critter Country,9,9,3,5,1,5,15,14,15,13,16,20
6,Frontierland,3,6,3,2,5,1,10,9,10,8,11,15
7,Cars Land,12,11,13,10,15,10,1,2,5,3,2,6
8,Avengers Campus,11,11,12,10,14,9,2,1,2,3,3,6
9,Hollywood Land,12,12,13,10,15,10,5,2,1,4,7,11
10,Grizzly Peak,10,10,12,9,13,8,3,3,4,1,2,6
11,Paradise Gardens,13,13,14,13,16,11,2,3,7,2,1,2
12,Pixar Pier,17,17,19,14,20,15,6,6,11,6,2,1
